nombre|carrera|plan|materia|nombre_materia|anio_de_cursada|periodo_dictado|obligatoria
Profesorado de Matemática|201|1999|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0003|Algebra I|1|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0034|Introducción a la Enseñanza de las Ciencias|1|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0006|Geometría y Algebra Lineal|1|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0035|Algebra II|1|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0040|Inglés I|1|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0011|Análisis Matemático II|2|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0036|Algebra III|2|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0037|Informática Orientada al Usuario|2|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0041|Inglés II|2|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0015|Probabilidades y Estadística|2|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0038|Ecuaciones Diferenciales|2|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0039|Psicología y Aprendizaje|2|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0042|Historía y Epistemología de las Ciencias I|3|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0043|Didáctica de la Matemática I|3|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0044|Análisis Matemático III|3|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0045|Cálculo Numérico|3|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0046|Tópicos de Análisis|3|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0047|Didáctica de la Matemática II|3|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0048|Informática Educativa|3|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0049|Topología|4|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0050|Práctica Docente I|4|1er Cuatrimestre|S
Profesorado de Matemática|201|1999|0051|Seminario de Enseñanza de la Matemática|4|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0052|Historía y Epistemología de las Ciencias II|4|2do Cuatrimestre|S
Profesorado de Matemática|201|1999|0053|Práctica Docente II|4|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0034|Introducción a la Enseñanza de las Ciencias|1|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0145|Algebra I|1|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0040|Inglés I|1|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0125|Algebra Lineal|1|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0127|Matemática Discreta|1|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0011|Análisis Matemático II|2|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0128|Complementos de Análisis|2|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0134|Informática Educativa I|2|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|4023|Elementos de Lógica y Teoría de Conjuntos|2|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0015|Probabilidades y Estadística|2|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0039|Psicología y Aprendizaje|2|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0136|Geometría con regla y compás|2|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0149|Algebra II|2|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0041|Inglés II|3|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0042|Historía y Epistemología de las Ciencias I|3|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0043|Didáctica de la Matemática I|3|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0044|Análisis Matemático III|3|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0047|Didáctica de la Matemática II|3|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0135|Informática Educativa II|3|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0147|Algebra III|3|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0050|Práctica Docente I|4|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0130|Ecuaciones Diferenciales I|4|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0137|Problemas en Educación Matemática|4|1er Cuatrimestre|S
Profesorado de Matemática|201|2004|0052|Historía y Epistemología de las Ciencias II|4|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0053|Práctica Docente II|4|2do Cuatrimestre|S
Profesorado de Matemática|201|2004|0146|Topología I|4|2do Cuatrimestre|S
Profesorado de Matemática|201|2004b|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0034|Introducción a la Enseñanza de las Ciencias|1|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0145|Algebra I|1|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0040|Inglés I|1|2do Cuatrimestre|S
