id_alumno|id_persona|carrera|plan|fecha_inscripcion|regular|calidad|localidad_nacimiento|colegio_secundario|titulo_secundario
53555|47395|206|1988|1978-04-01|N|Pasivo|TANDIL||
53556|47399|203|1999|1979-04-01|N|Pasivo|NECOCHEA||
53557|47400|206|1988|1980-04-01|N|Pasivo|TANDIL|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER
53558|47401|206|1988|1980-04-01|N|Egreso|Ciudad Autónoma de Buenos Aires||
53561|47403|206|1988|1981-04-01|N|Pasivo|AZUL|COLEGIO SANTO DOMINGO|BACHILLER COMUN
65786|47406|206|2011|1981-04-01|N|Alta Alumno|CHILLAR||
53565|17666|206|1988|1982-04-01|N|Egreso|NECOCHEA||
53566|47416|206|1988|1982-04-01|N|Egreso|AZUL||
53567|47417|206|1988|1982-04-01|N|Pasivo|TANDIL||
53568|47418|206|1988|1982-04-01|N|Egreso|TANDIL||
53569|47419|206|1988|1982-04-01|N|Pasivo|TRELEW||
53572|47412|206|S95|1982-04-01|N|Pasivo|TANDIL||
53574|47421|206|S95|1982-04-01|N|Pasivo|BAHIA BLANCA|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER COMUN
65787|47411|206|2011|1982-04-01|N|Alta Alumno|BENITO JUAREZ||
56402|47428|206|1988|1983-03-29|N|Pasivo|ADOLFO GONZALES CHAVES||
53575|47425|206|1988|1983-04-01|N|Pasivo|TANDIL||
53576|47429|206|1988|1983-04-01|N|Egreso|TANDIL||
53577|47431|206|1988|1983-04-01|N|Pasivo|ESQUEL||
53579|47433|206|1988|1983-04-01|N|Pasivo|BAHIA BLANCA||
53580|47434|206|1988|1983-04-01|N|Egreso|TANDIL||
53581|47437|206|1988|1983-04-01|N|Pasivo|TANDIL||
53582|17738|206|1988|1983-04-01|N|Pasivo|TANDIL|ESCUELA DE EDUCACION MEDIA NRO. 10 GRAL. JOSE DE SAN MARTIN|BACHILLER
