id_persona|nivel_estudio|institucion|colegio|adeuda_materias_secundario|titulo|razon_abandono
4|Secundario||INSTITUTO INMACULADA CONCEPCION||BACHILLER MERCANTIL|
4|Universitario|Facultad de Ciencias Exactas UNICEN|||Ingeniera en Sistemas|
267|Secundario||COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO||BACHILLER MERCANTIL|
933|Secundario||ALVARES CONDARCO||BACHILLER CON ORIENTACION EN CIENCIAS EXACTAS|
1587|Secundario||ESCUELA DE EDUCACION AGRARIA N°1 DR. RAMON SANTAMARINA||Técnico Agropecuario Especializado en Ganadería|
1670|Secundario||ESCUELA AGRARIA NRO. 1 DR. RAMON SANTAMARINA||TÉCNICO AGROPECUARIO|
1680|Universitario|mar del plata||||
1683|Secundario||ANTONIO QUARANTA NRO.79||BACHILLER CON ESPECIALIZACION EN CIENCIAS FISICO-MATEMATICA|
1959|Secundario||JUAN FACUNDO QUIROGA|||
2326|Secundario||ESC. SECUNDARIA BASICA NRO. 2||BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
2364|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO|||
2386|Secundario||INSTITUTO SECUNDARIO DE RAUCH|N|BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
2386|Universitario|UNIVERSIDAD|||VETERINARIA|
2424|Secundario||DR. RODRIGUEZ Y OLMOS||TÉCNICO MECANICO|
2476|Secundario||ESCUELA DE EDUCACION TECNICA NRO.2 ING. FELIPE SENILLOSA||Bach.en la Mod.Producción de Bienes y Servicios/Téc.en Industrias de Procesos|
2476|Universitario|UNICEN||||
2487|Secundario||ESCUELA AGRARIA NRO. 1 DR. RAMON SANTAMARINA||Bachiller Modalidad Cs. Naturales con Orientación en Gestión Ambiental|
2487|Superior|INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 10||||
2489|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO||BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO EN MICROEMPR|
2510|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 4 M. DE LOS R. DE E. DE S. MARTIN||BACHILLER NACIONAL|
2594|Superior|I.s.f.t. N75||N|Tecnico Superior En Turismo Y En Hoteleria|
2655|Secundario||ESC. NORMAL REGIONAL GENERAL SAN MARTIN||BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES|
2655|Superior|Instituto de educacion superior tandil||||
2655|Superior|INSTITUTO DE EDUCACION SUPERIOR TANDIL||||
2728|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO||BACHILLER MODALIDAD CIENCIAS NATURALES|
2741|Superior|Instituto de Formacion Profecional n°75||||
2842|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 8 FUERTE DE LA INDEPENDENCIA||Bachiller de Producción de Bienes y Servicios- Tecnico en Prod. Agropecuaria|
2842|Universitario|unicen||||
2842|Universitario|Unicen. Facultad de veterinarias||||
2848|Secundario||ESCUELA DE COMERCIO EUSEBIO DE JESUS DOJORTI||Bachiller modalidad Ciencias Naturales|
2861|Secundario||ESCUELA DE COMERCIO EUSEBIO DE JESUS DOJORTI||Bachiller modalidad Ciencias Naturales|
2866|Universitario|Universidad Nacional del Centro de la Provincia de Buenos Aires||N|Licenciada En Tecnología De Los Alimentos|
2888|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||POLIMODAL ESP.CIENCIAS SOCIALES|
2888|Universitario|Universidad Nacional de San Juan||||
2927|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO||TÉCNICO ELECTROMECANICO|
3006|Secundario||ESCUELA DE EDUCACION MEDIA NRO. 4 M. DE LOS R. DE E. DE S. MARTIN||BACHILLER EN CIENCIAS BIOLÓGICAS|
3006|Secundario||ESCUELA POLIMODAL NRO. 4 M. DE LOS R. DE E. DE S. MARTIN||BACHILLER CON ORIENTACION EN CIENCIAS EX. Y NATURALES|
3149|Secundario||ESCUELA DE ENOLOGIA||BACHILLER MODALIDAD CIENCIAS NATURALES|
3206|Secundario||ESCUELA DE AGRICULTURA Y GANADERIA DE LA NACION||BACHILLER MODALIDAD CIENCIAS NATURALES|
3301|Secundario||ESCUELA INDUSTRIAL DOMINGO F. SARMIENTO|||
3301|Universitario|no||||
3302|Secundario||ING. ANTONIO ARBOIT NRO. 4/ 016||BACHILLER CON ORIENTACIÓN EN GESTIÓN Y ADMINISTRACIÓN ESPECIALIZADO EN MICROEMPR|
3302|Superior|INSTITUTO DEL PROF DE ARTE Nº 4||||
3302|Superior|IPAT||||
3303|Secundario||ESCUELA POLIMODAL NRO. 6 JOSE HERNANDEZ||Bachiller modalidad Ciencias Naturales|
3303|Superior|I.s.f.dyt Nº10||N|Profesorado De Educación Secundaria De La Modalidad Técnico Profesional En Concurrencia Con Titulo De Base|
3303|Universitario|Facultad de Ciencias Veterinarias - Universidad Nacional del Centro||N|Licenciatura En Tecnología De Los Alimentos|
3311|Universitario|UNICEN||||
3328|Secundario||COLEGIO SAN JOSE||Bachiller Modalidad Humanidades y Cs. Sociales|
3336|Secundario||COLE. NACIONAL||BACHILLER CON ORIENTACION EN GEST. Y ADMINISTRACION|
3336|Superior|Instituto de Educación Superior Tandil||||
3394|Secundario||NACIONAL DE POCITO FROILAN FERRERO|||
3407|Secundario||ENET NRO.1 GRAL. ING. ALONSO BALDRICH||TÉCNICO ELECTRONICO|
3407|Superior|Instituto Superior de Formaci&oacute;n docente y t&eacute;cnica n&ordm;10||||
3622|Secundario||Esc.agraria Lag De Los Padres Mdp|N|Técnico en Producción Agropecuaria|
3622|Superior|Univesidad Nacional Del Centro De La Provincia De Buenos Aires||N|Diplomatura Universitaria En Gestion Y Administracion De Redes|
3623|Secundario||CENTRO DE ESTUDIOS SUPERIOR DEL SUR|||
3657|Secundario||I.S.A.D.A.M.||TECNICO EN INFORMATICA PERSONAL Y PROFESIONAL|
3657|Universitario|UNICEN||||
3688|Secundario||ESCUELA AGRARIA NRO. 1 PERITO MORENO||BACHILLER TÉCNICO ORIENTACIÓN QUIÍMICA|
3688|Universitario|UNICEN||||
3724|Secundario||INSTITUTO SAGRADA FAMILIA DIPREGEP N° 4805||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
3724|Secundario||INSTITUTO SAGRADA FAMILIA DIPREGEP N° 4805||Bachiller modalidad Ciencias Naturales|
3724|Universitario|UNCPBA||||
3754|Secundario||ESCUELA NACIONAL DE COMERCIO FUERTE DE LA INDEPENDENCIA|||
3754|Superior|IPAT||||
3759|Secundario||COLEGIO ALEMAN DE TEMPERLEY||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
3759|Secundario||ESCUELA NORMAL SUPERIOR GRAL JOSE DE SAN MARTIN||BACHILLER|
3797|Secundario||COLEGIO ABRAMAM LINCOLN||POLIMODAL DE LA MODALIDAD PRES. PRODUCCIÓN DE BIENES Y SERVICIOS|
3797|Secundario||NACIONAL DE SAN MARTIN|||
3797|Universitario|UNICEN||||
3799|Secundario||COLEGIO SECUNDARIO JORGE LUIS BRGES||ARTE, DISEÑO Y COMUNICACIONES|
3878|Secundario||ESCUELA INDUSTRIAL DOMINGO FAUSTINO SARMIENTO||BACHILLER|
3878|Superior|instituto de educacion superior||||
4087|Secundario||ESCUELA DE EDUCACION TECNICA N°2 ING. FELIPE SENILLOSA||BACHILLER EN ARTE-TEATRO|
4106|Secundario||ESCUELA DE COMERCIO EUSEBIO DE JESUS DOJORTI||BACHILLER CON ORIENTACION EN CIENCIAS NATURALES|
4107|Secundario||ESCUELA TECNICA NRO. 2 ING. FELIPE SENILLOSA||Bachiller, modalidad Producción de Bienes y Servicios|
4107|Universitario|Facultad de Ciencias Veterinarias - Universidad Nacional del Centro||N|Licenciado en Tecnología de los Alimentos|
4158|Desconoce|UNICEN||||
4158|Secundario||COLEGIO SEC.DR DIEGO DE SALINAS||BACHILLER HUMANISTA C/ORIEN. CIENCIAS SOCIALES Y JURIDICOS|
4177|Secundario||INSTITUTO INMACULADA CONCEPCION||BACHILLER MODALIDAD ECONOMIA Y GESTION DE LAS ORGANIZACIONES|
4209|Secundario||ESCUELA DE AGRICULTURA Y GANADERIA ING.AGR.ADOLFO I.ZABALA||TÉCNICO AGROP. C/ESP. EN PRODUCCION ANIMAL|
4209|Universitario|Unicen||||
4278|Secundario||COLEGIO SAN JOSE||BACHILLER CON ESPECIALIZACION EN CIENCIAS SOCIALES Y HUMANAS|
4278|Universitario|UNICEN||||
4386|Secundario||COLE. SANTO DOMINGO|||
4515|Secundario||ESCUELA POLIMODAL NRO. 8 FUERTE DE LA INDEPENDENCIA||Bachiller modalidad Ciencias Naturales|
4515|Secundario||ESCUELA POLIMODAL NRO. 8 FUERTE DE LA INDEPENDENCIA||Polimodal Especialidad Ciencias Exactas y Naturales|
4515|Superior|Conservatorio De Música Isaías Orbe||N|Profesor de Educación Musical|
4515|Universitario|Universidad nacional del Centro de la provincia de Bs As||||
