id_persona|fecha_relevamiento|fecha_actualizacion|tecnologia_pc_casa|tecnologia_pc_trabajo|tecnologia_pc_universidad|tecnologia_pc_otro_lugar|tecnologia_int_casa|tecnologia_int_trabajo|tecnologia_int_universidad|tecnologia_int_movil|tecnologia_int_otro_lugar|deportes|deportes_universidad|deportes_gimnasio|deportes_particular|deportes_otro_lugar|deportes_basquet|deportes_futbol|deportes_gimnasia|deportes_handball|deportes_natacion|deportes_tenis|deportes_voley|deportes_otros|nivel_idioma_ingles|nivel_idioma_aleman|nivel_idioma_frances|nivel_idioma_italiano|nivel_idioma_portugues|nivel_idioma_chino|idioma_otro|nivel_idioma_otro
54387|2018-04-06|2020-07-13|S|S|S|N|S|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|Desconoce|Desconoce|Basico|Bueno|||
30668|2008-12-16|2009-03-25|S|N|N|N|N|N|N|N|N|S|S|N|N|N|N|S|N|N|N|N|N|S|Muy bueno||Basico|||||
49586|2012-02-14|2013-02-04|S|S|S|S|S|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|||||||
50081|2005-02-08|2005-02-08|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
47675|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52125|2009-03-25|2009-03-25|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
12052|2015-02-10|2015-09-07|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
78264|2023-02-01|2024-02-05|S|N|N|N|S|N|N|S|N|S|N|S|S|N|N|S|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
47930|2017-04-21|2017-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
48774|2017-04-21|2017-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
18454|2017-04-21|2017-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52375|2020-04-22|2023-05-02|S|N|N|N|S|N|N|N|N|S|N|N|S|N|N|N|N|N|N|N|N|S|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
56912|2022-11-01|2022-11-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
49997|2015-02-14|2015-02-14|S|N|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Muy bueno|||||||
49014|2009-10-05|2010-02-08|S|S|N|N|S|S|N|N|N|S|N|N|S|N|N|S|N|N|N|N|N|N||||||||
55618|2022-09-15|2024-07-29|S|N|N|N|S|N|N|N|N|S|N|N|S|N|S|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
40357|2017-04-21|2023-04-25|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
49448|2005-03-02|2006-02-09|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
48007|2003-02-07|2003-02-07|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
20275|2022-09-22|2024-02-02|S|S|S|N|S|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Basico|||
47465|2002-04-01|2002-04-01|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52865|2022-02-22|2024-05-02|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
10523|2018-02-28|2018-02-28|S|N|N|N|S|N|N|N|N|S|S|N|N|N|N|N|N|N|N|N|N|S|Basico|Desconoce|Bueno|Desconoce|Desconoce|||
48605|2004-02-09|2004-02-09|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
17138|2011-04-26|2011-04-29|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
15267|2013-03-16|2013-03-16|N|N|N|N|N|N|N|N|N|S|N|N|S|N|N|N|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Basico|||
52706|2012-03-28|2013-02-05|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
933|2003-02-05|2003-02-05|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52429|2012-03-24|2012-03-24|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
56080|2021-03-30|2024-04-04|S|S|N|N|S|S|N|S|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
55053|2022-02-10|2024-05-13|S|N|N|N|S|N|N|N|N|S|N|S|N|N|N|N|N|N|S|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
26477|2021-12-27|2021-12-27|S|S|N|N|S|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
