id_persona|institucion|institucion_otra|cargo|materia|trabajo_hora_sem|fecha_desde|fecha_hasta
6380|FACULTAD DE CIENCIAS EXACTAS - UNICEN - TANDIL||Ayudante 2Da Categoria|Ayudante de catedra|Hasta 10 horas|2022-09-01|
8503|Departamento de Educación||Profesora De Educacion Fisica|Educacion Fisica|Hasta 10 horas|2022-05-01|2022-12-22
9236|Facultad de Ciencias Exactas - UNCPBA||Profesor Adjunto|docente|Hasta 10 horas|2023-10-02|
9236|Facultad de Ciencias Veterinarias - UNCPBA||Ayudante Diplomado|docente|Más de 10 y hasta 20 horas|2017-08-01|
14912|Facultad de Derecho de la UNCPBA||Jts1|Docente|Hasta 10 horas|2010-04-01|
17137||Escuela de Educación Secundaria Nº13 - Florencio Molina Campos|Docente Suplente|Docencia|Hasta 10 horas|2022-10-21|2022-11-11
19120|Fac. Cs. Exactas, UNCPBA||Ayudante Alumno Dedicación Simple|Ayudante en Introducción a la Vida Universitaria, Ingreso a la Fac. Cs. Exactas|Hasta 10 horas|2021-04-01|
19120||Colegio Nuestra Tierra Tandil|Profesora|Prácticas de Indagación Territorial en 2do y 5to año, nivel secundario|Hasta 10 horas|2023-06-09|
19120||Colegio Nuestra Tierra Tandil|Profesora Suplente|Profesora de Física en 5to año, nivel secundario|Hasta 10 horas|2023-04-05|
19120||Colegio Sagrada Familia Tandil|Profesora Suplente|Profesora de Física en 5to año, nivel secundario|Hasta 10 horas|2023-05-10|
24502|Unicen -Fac. Cs. Económicas||Adjunto|Docente del area de administración y finanzas|Más de 20 y hasta 35 horas|2023-09-22|
34092|Universidad Nacional del Centro - Facultad de Cs. Humanas||Ayudante Diplomado Concursado|Docencia|35 o más horas|2023-08-01|
34092|Universidad Nacional del Centro - Facultad de Cs. Humanas||Ayudante Diplomado Interino|Docente|35 o más horas|2016-08-16|
39804|Universidad Nacional del Centro de la Provincia de Buenos Aires||Jtp|Docente|Más de 10 y hasta 20 horas|1990-08-01|2024-08-07
41243|Universidad Nacional del Centro de la Pcia. de Bs.As.||Docente|Docente en Diplomatura en Estéticas Contemporáneas|Hasta 10 horas|2022-04-04|
41243||Colegio de la Sierra|Docente|Docente en Asignatura Nuevas Tecnologías|Hasta 10 horas|2022-03-01|
42219|Facultad de Ciencias Exactas - UNCPBA||Ayudante Alumno|Docente en el ingreso|Hasta 10 horas|2020-02-10|
48036|Facultad de Humanidades||Ayudante Alumno|Catedra de Informatica|Hasta 10 horas|1996-03-01|2000-12-01
49895|Fac. Cs. Exactas, UNCPBA||Ayudante De Segunda|Ayudante alumno|Hasta 10 horas|2005-04-01|2005-09-30
49895|Fac. Cs. Exactas, UNCPBA||Ayudante De Segunda|Ayudante alumno|Hasta 10 horas|2008-06-01|2008-11-30
49895|Fac. Cs. Exactas, UNCPBA||Ayudante De Segunda|Ayudante Alumno|Hasta 10 horas|2005-10-01|2006-03-31
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2010-10-01|2011-03-31
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2011-10-01|2012-03-31
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2012-04-01|2012-09-30
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2014-10-01|2015-03-31
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2015-04-01|2015-09-03
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2015-09-04|2020-06-17
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2018-04-01|2018-09-30
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2018-10-01|2019-03-31
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2020-04-01|2020-09-30
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2020-10-01|2021-03-31
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2021-04-01|2021-09-30
49895|Fac. Cs. Exactas, UNCPBA||Ayudante Diplomado|Docente|Hasta 10 horas|2021-10-01|2022-03-31
49895|Fac. Cs. Exactas, UNCPBA||Jefe De Trabajos Prácticos|Docente|Hasta 10 horas|2020-06-18|
49895|Facultad de Agronomía - UNCPBA||Ayudante Diplomado|Docente|Más de 10 y hasta 20 horas|2021-09-01|2023-09-30
49895|Facultad de Agronomía - UNCPBA||Jefe De Trabajos Prácticos|Docente|Hasta 10 horas|2021-09-01|2023-09-30
49895|UNICEN - Facultad de Ciencias Exactas||Ayudante De Segunda|Ayudante alumno|Hasta 10 horas|2004-04-01|2004-09-30
49895||Instituto de formación docente y técnica  N° 166 - TANDIL|Profesor Provisional|Docente|Hasta 10 horas|2020-08-13|2022-07-18
49895||Instituto de Formación Docente y Técnica N° 166 - TANDIL-|Profesora Provisional|Docente|Hasta 10 horas|2020-08-13|2022-07-18
50574||EESTN3 NIKOLA TESLA NECOCHEA|Profesor|PROFESOR|Más de 10 y hasta 20 horas|2018-03-01|2024-03-01
52713|Analista de Sistemas Informaticos||Docente|Docente|Más de 20 y hasta 35 horas|2016-03-30|
52715|Universidad Nacional del Centro de la Pcia. de Buenos Aires||Ayudante|de primera|Más de 10 y hasta 20 horas|2015-08-01|
52936|Universidad de Buenos Aires.||Profesor Adjunto Regular|Docente|Hasta 10 horas|1987-08-03|
52936||INSTITUTO DE FORMACION TECNICA SUPERIOR N° 23|Secretario Académico|Conducción|Más de 20 y hasta 35 horas|2013-08-08|
53024||EES Nº 4 - 30 DE OCTUBRE|Profesora|DOCENTE|Más de 20 y hasta 35 horas|2017-08-22|2023-12-31
53225|Unicen-Facultad de Ciencias Exactas||Ayudante|Ayudante Alumno|Hasta 10 horas|2020-08-10|2021-12-15
53291|Fac. Cs. Exactas, UNCPBA||Interino|Docencia|Más de 20 y hasta 35 horas|2018-04-01|2023-03-01
53328|UNICEN - Facultad de Ciencias Exactas||Simple|Auxiliar|Más de 10 y hasta 20 horas|2018-04-01|
53451|Departamento de Física||Ayudante Alumno|Docencia|Hasta 10 horas|2017-04-03|2023-04-03
