id_optativa|nombre_optativa|id_etiqueta1|id_etiqueta2|id_etiqueta3
163|Configuración y Mantenimiento de Sistemas Operativos Orientados a Redes I|8|11|6
228|Técnicas de Documentación y Validación|12|7|
229|Interfaces de Usuario e Interacción|9|5|
230|Arquitecturas Web|8|9|11
1001|Arquitecturas de Software Reflexivas|9|8|6
1002|Tópicos Avanzados en Bases de Datos|10|2|
1003|Procesamiento de Sonido|2|1|5
1004|Procesamiento de Imágenes I|2|1|5
1005|Lenguajes de Programación II|2|7|5
1006|Sistemas Operativos II|8|6|9
1007|Sistemas Distribuidos I|11|8|9
1008|Modelos Dinámicos|1|10|5
1009|Introducción a la Lógica Matemática|1|5|6
1010|Sistemas de Información y Concepción de BDOO|10|9|5
1011|Microeconomía|1|15|
1012|Dirección General y Administración I|15||
1013|Evaluación de Proyectos|15|1|
1014|Modelos y Simulación I|1|9|
1015|VHDL|2|14|
1016|Arquitecturas Avanzadas|8|6|
1017|Dirección General y Administración II|15||
1018|Ingeniería Legal|15||
1019|Sistemas de Gestión y Control de la Producción|15|12|
1020|Modelos y Simulación II|1|9|
1021|"Proyectos de Informática| Concepción y Desarrollo"|9|12|
1022|Macroeconomía|1|15|
1023|Tópicos de Inteligencia Artificial Distribuida|2|7|
1024|Introducción a Arquitecturas de Software|8|9|
1025|Desarrollo Industrial de Software|12|9|
1026|Framework Construction Workshop|9|12|
1027|Metaclass Mechanism - A CLOS Perspective|9|2|
1028|Multimedia|2|9|
1029|Criptografía y Aplicaciones en la Internet|11|7|17
1030|Ingeniería de Requerimientos|9|12|
1031|Tecnologías de Diseño de Interfaces a Usuario|9|2|
1032|Estereoscopía Digital I|5|9|
1033|Tópicos de Análisis y Procesamiento de Señales|1|5|
1034|Arquitecturas TCP/IP|11|8|
1035|Programación en Internet / El Lenguaje de Programación Java|2|9|
1036|Matemática Aplicada|1||
1037|Microprogramación|2|8|
1038|Introducción a las Lógicas y Álgebras Modales|1|6|
1039|Refinement Methods for Programs and Specifications|9|7|
1040|Sistemas de Razonamiento Computacional|16|1|
1041|Visualización de Datos de Ingeniería|5|9|
1042|Simulación de Procesos|1|9|
1043|Diseño de Compiladores II|9|2|
1044|Procesos Estocásticos|1|10|
1045|Control Automático I|1|9|
1046|Control Automático II|1|9|
1047|Bases de Datos Avanzadas|10|2|
1048|Metodologías de Desarrollo de Software II|12|9|
1049|Modelística Avanzada|1|10|
1050|Razonamiento Basado en Casos|16|5|
1051|Sistemas Multi-Agentes|16|17|
1052|Transformada de Fourier y Wavelets|1|5|
1053|Visualización Tridimensional|5|9|
1054|Programación en Lenguaje Ensamblador|2|8|
1055|Construcción de Interfaces a Usuario|9|2|
1056|Inteligencia Artificial|16|5|
1057|Visualización Computacional de Datos|5|9|
1058|Sistemas Móviles|11|9|
1059|Multicast IP|11|17|
1060|Información Referenciada|5|9|
1061|Sistemas de Visualización y Exploración de Información|9|5|
1062|Agentes Inteligentes|16|17|
1063|Multi-Agent Systems|16|17|
1064|"Retrieval| Filtering and Classification of Text Documents"|5|16|
1065|Software Architecture in Practice|9|8|
1066|Modelamiento Conceptual e Ingeniería de Sistemas de Información|10|9|
1067|Estrategias para la Resolución de Problemas de Satisfacción de Restricciones|1|5|
1068|Técnicas de 'Programación Hardware': CAD para FPGAs y CPLDs|2|14|
1069|Modelos Discretos: Matrices y Grafos|1|10|
1070|Arquitecturas de Sistemas Interactivos|8|9|
1071|Management de Tecnología|15|12|
1072|Introducción a la Lógica Modal|1|5|
1073|Introducción a la Visión en Robótica y Modelos Numéricos|16|5|
1074|"Introducción al Data Warehouse| Olap y Data Mining"|10|5|
1075|Algoritmos en Hardware: Lógica Programable y otras opciones VLSI|2|14|
1076|Diseño de Interfaces|9|2|
1077|Herramientas de Desarrollo de Aplicaciones en Internet: Comercio Electrónico y Computación Móvil|9|11|
1078|Introduction to Multi-Agent Systems|16|17|
1079|Object-Oriented Enterprise and Application Frameworks|9|12|
1080|Frameworks Orientados a Objetos|9|2|
1081|"Enfoques Reflexivos para Agentes| Aspectos y Patrones de Diseño"|9|16|
1082|Tópicos Avanzados en Comunicación de Datos|11|17|
1083|"Introducción al Data Mining| su Aplicación a la Empresa"|10|5|
1084|Organización e Informatización de Proyectos|15|12|
1085|Aprendizaje Simbólico de Máquina|16|5|
1087|Diseño de Controladores en Lógica Difusa|5|16|
1088|Software Design Methods: UML in Action|9|12|
1089|Herramientas para el Desarrollo de Aplicaciones en Internet: Comercio Electrónico y Computación Móvil|9|11|
1091|Enfoques Reflexivos|9|16|
1092|"ALU en Microprocesadores. Implementación CLD| FSM y FPGA"|14|8|
1093|Desarrollo de Software con UML|9|12|
1094|Taller de Linux: Programación de Drivers en RTL|2|9|
1095|Técnicas de Lógica Difusa en Control Automático|5|16|
1096|Agentes Inteligentes en Internet|16|17|
1097|Integridad en Bases de Datos|10|2|
1098|Ingeniería de Requisitos|9|12|
1099|Tópicos Avanzados en Data Mining|10|16|
1100|Metodologías para Desarrollo de Agentes|16|12|
1101|Taller de UML|9|12|
1102|Procesamiento de Imágenes II|2|5|
1103|Sistemas de Información y Control de Marketing|15|10|
1104|Tecnología Avanzada para el Desarrollo de Aplicaciones Distribuidas|17|9|
1105|Métodos Relacionales para la Especificación de Software|9|10|
1106|Introducción al Uso de VHDL en FPGAs: Entorno de Diseño ISE|2|14|
1107|Modelado e Integración de Empresas: Principios y Aplicaciones|15|10|
1108|Sistemas de Tiempo Real|9|2|
1109|Introducción al Model Checking|5|1|
1110|Ingeniería de Software de Aplicaciones Web|9|12|
1111|Decisiones Financieras|15|1|
1112|Evaluación de Proyectos Informáticos|15|12|
1114|Introducción a la Teoría y Aplicaciones de Redes Neuronales Artificiales|16|5|
1115|Análisis y Recuperación de Información|10|5|
1116|Sistemas de Administración de Recursos Humanos|15|10|
1117|Performance and Scalability of E-Commerce Systems|9|17|
1118|Microcontroladores|14|8|
1119|Agentes Personales|16|17|
1120|Programación de Hardware: VHDL en FPGAs|2|14|
1121|Descubrimiento de Conocimiento en Base de Datos|10|16|
1122|Proyectos Informáticos|9|12|
1123|Introducción a la Robótica Basada en Comportamientos|16|5|
1124|Introduction to Answer Set Programming|5|9|
1125|Visualización Computacional de Datos I|5|9|
1126|Visualización Computacional de Datos II|5|9|
1127|Fundamentos Matemáticos de la Visión 3D en Robótica|1|5|
