materia|nombre_materia|cuatrimestre|anio_carrera|horas_teoria|horas_practica
0001|Introducción a la Programación I|1|1|2|4
0002|Análisis Matemático I|1|1|3|4
0145|Algebra I|1|1|3|4
0193|Química|1|1|1|3
0004|Ciencias de la Computación I|2|1|2|3
0005|Introducción a la Programación II|2|1|2|5
0125|Algebra Lineal|2|1|3|4
0007|Física General|2|1|4|4
0127|Matemática Discreta|2|1|3|3
0008|Ciencias de la Computación II|1|2|2|3
0009|Análisis y Diseño de Algoritmos I|1|2|3|5
0010|Introducción a la Arquitectura de Sistemas|1|2|3|2
0011|Análisis Matemático II|1|2|4|3
0012|Electricidad y Magnetismo|1|2|3|4
0017|Inglés|2|2|2|0
0013|Análisis y Diseño de Algoritmos II|2|2|3|5
0014|Comunicación de Datos I|2|2|3|5
0015|Probabilidades y Estadística|2|2|3|3
0016|Electrónica Digital|2|2|2|4
0022|Programación Orientada a Objetos|1|3|2|3
0019|Estructuras de Almacenamiento de Datos|1|3|3|5
0020|Metodologías de Desarrollo de Software I|1|3|3|5
0021|Arquitectura de Computadoras I|1|3|3|5
0018|Programación Exploratoria|2|3|2|3
0023|Bases de Datos I|2|3|2|5
0024|Lenguajes de Programación I|2|3|3|3
0025|Sistemas Operativos I|2|3|3|3
0026|Investigación Operativa I|2|3|2|4
0027|Arquitectura de Computadoras y Técnicas Digitales|1|4|3|5
0028|Teoría de la Información|1|4|3|4
0029|Comunicación de Datos II|1|4|2|3
0030|Introducción al Cálculo Diferencial e Integral|1|4|3|2
0031|Diseño de Sistemas de Software|2|4|2|2
0032|Diseño de Compiladores I|2|4|3|3
0033|Ingeniería de Software|1|5|3|5
1188|Organización Empresarial|1|5|2|2
1189|Fundamentos de Economía y Proyectos de Inversión|2|5|3|5
1190|Legislación y Gestión Ambiental|2|5|2|2
