materia|id_etiqueta
0001|1
0001|2
0001|5
0002|1
0145|1
0193|4
0004|1
0004|2
0004|5
0005|2
0125|1
0007|1
0007|3
0127|1
0008|5
0009|2
0009|6
0009|9
0010|6
0010|8
0010|11
0011|1
0012|1
0012|3
0017|13
0013|2
0013|9
0014|2
0014|6
0014|11
0015|1
0016|8
0016|14
0022|2
0022|9
0019|7
0019|10
0020|9
0020|12
0021|2
0021|6
0021|8
0018|2
0023|2
0023|10
0024|7
0025|7
0025|8
0025|9
0026|1
0027|1
0027|8
0027|11
0028|1
0028|2
0029|2
0029|11
0030|1
0031|2
0031|9
0031|12
0032|2
0032|7
0033|2
0033|9
0033|12
1188|1
1188|15
1189|15
1190|15
