materia|nombre_materia|precedencia_cursada|precedencia_final
0001|Introducción a la Programación I||
0002|Análisis Matemático I||
0145|Algebra I||
0193|Química||
0004|Ciencias de la Computación I||
0005|Introducción a la Programación II|1|
0125|Algebra Lineal|145|
0007|Física General|2|
0127|Matemática Discreta|145|
0008|Ciencias de la Computación II|1-145-4-5-127|
0009|Análisis y Diseño de Algoritmos I|1-145-4-5-127|
0010|Introducción a la Arquitectura de Sistemas|1-5|
0011|Análisis Matemático II|2|
0012|Electricidad y Magnetismo|2-7|
0017|Inglés||
0013|Análisis y Diseño de Algoritmos II|1-145-4-5-127-8|
0014|Comunicación de Datos I|1-5-10|
0015|Probabilidades y Estadística|1-145-125-127-11|
0016|Electrónica Digital|2-7-12|
0022|Programación Orientada a Objetos|1-145-4-5-127-8-13|
0019|Estructuras de Almacenamiento de Datos|1-2-145-4-5-125-127-8-9-11-13-15|
0020|Metodologías de Desarrollo de Software I|1-145-4-5-127-8-9-13|
0021|Arquitectura de Computadoras I|1-2-5-7-10-12-16|
0018|Programación Exploratoria|1-2-145-193-4-5-127-8-9-13|1-2-145-193
0023|Bases de Datos I|1-2-145-193-4-5-125-127-8-9-11-13-15-19-20|1-2-145-193
0024|Lenguajes de Programación I|1-2-145-193-4-5-127-8-9-13-22|1-2-145-193
0025|Sistemas Operativos I|1-2-145-193-4-5-127-7-127-8-9-10-11-12-13-15-16-19-21|1-2-145-193
0026|Investigación Operativa I|1-2-145-193-125-127-11-15|1-2-145-193
0027|Arquitectura de Computadoras y Técnicas Digitales|1-2-145-193-4-5-125-7-127-10-12-16-21|1-2-145-193-4-5-125-7-127
0028|Teoría de la Información|1-2-145-193-4-5-125-9-10-11-4-15|1-2-145-193-4-5-125-7-127
0029|Comunicación de Datos II|1-2-145-193-4-5-125-7-127-8-9-10-11-12-13-14-15-16-19-21-25|1-2-145-193-4-5-125-7-127
0030|Introducción al Cálculo Diferencial e Integral|1-2-145-193-4-5-125-7-127-11|1-2-145-193-4-5-125-7-127
0031|Diseño de Sistemas de Software|1-2-145-193-4-5-125-7-127-8-9-10-11-12-13-15-16-22-19-20-21-23-25|1-2-145-193-4-5-125-7-127-8-9-10-11-12
0032|Diseño de Compiladores I|1-2-145-193-4-5-125-7-127-8-9-10-11-12-13-22-24|1-2-145-193-4-5-125-7-127-8-9-10-11-12
0033|Ingeniería de Software|1-2-145-193-4-5-125-7-127-8-9-10-11-12-13-14-15-16-1722-19-20-21-23-25-31|1-2-145-193-4-5-125-7-127-8-9-10-11-12-13-14-15-16-17
1188|Organización Empresarial|1-2-145-193-4-5-125-7-127-8-9-10-11-12-17-13-4-15-16-22-19-20-21-18-23-24-25-26|
1189|Fundamentos de Economía y Proyectos de Inversión|1-2-145-193-4-5-125-7-127-8-9-10-11-12-17-13-4-15-16-22-19-20-21-18-23-24-25-26|
1190|Legislación y Gestión Ambiental|1-2-145-193-4-5-125-7-127-8-9-10-11-12-17-13-4-15-16-22-19-20-21-18-23-24-25-26|
