materia|nombre_materia_2022|cuatrimestre|anio|horas_teoria|horas_practica
6111|Introducción a la Programación I|1|1|2.5|3.5
6112|Introducción al Álgebra|1|1|3|3
6113|Introducción a los Sistemas Informáticos|1|1|2|3
6114|Inglés I|1|1|3|3
6121|Diseño Lógico|2|1|2|2
6122|Introducción a la Programación II|2|1|2.5|3.5
6123|Lenguajes Formales y Autómatas|2|1|2|3
6124|Cálculo I|2|1|3|3
6211|Arquitectura de Computadoras I|1|2|3|3
6212|Análisis y Diseño de Algoritmos I|1|2|3|3
6213|Programación Orientada a Objetos|1|2|2|3
6214|Álgebra Lineal|1|2|3|3
6221|Redes de Computadoras I|2|2|3|3
6224|Cálculo II|2|2|3|3
6223|Análisis y Diseño de Algoritmos II|2|2|3|3
6222|Metodologías de Desarrollo de Software|2|2|3|3
6313|Física I|1|3|3|3
6314|Lenguajes y Paradigmas|1|3|2|3
6311|Sistemas Operativos|1|3|3|3
6312|Base de Datos I|1|3|3|3
6322|Base de Datos II|2|3|3|3
6323|Probabilidad y Estadística|2|3|3|3
6321|Programación WEB|2|3|3|3
6324|Ingeniería de Software I|2|3|3|3
6411|Organización y Gestión Empresarial|1|4|3|3
6412|Teoría de la Información|1|4|3|3
6413|Redes de Computadoras II|1|4|3|3
6414|Física II|1|4|3|3
6421|Calidad de Software|2|4|3|3
6422|Arquitectura de Computadoras II|2|4|2|2
6423|Fundamentos de la Ciencia de Datos|2|4|3|3
6424|Compiladores e Intérpretes|2|4|2|3
6511|Ingeniería de Software II|1|5|3|3
6512|Ciberseguridad|1|5|2|2
6513|Inteligencia Artificial|1|5|2|3
6521|Formulación y Evaluación de Proyectos TICs|2|5|3|3
6522|Ética y Legislación de la Práctica Profesional|2|5|2|3
