id_materia|precedencia_cursada|precedencia_final
6111||
6112||
6113||
6114||
6121|6112-6113|
6122|6111|
6123|6112|
6124||
6211|6112-6113-6121|
6212|6111-6112-6122-6124|
6213|6111-6122|
6214|6112|
6221|6111-6113-6122|
6224|6124|
6223|6111-6112-6122-6124-6212|
6222|6111-6122-6213|
6313|6112-6124-6214|
6314|6112-6113-6121-6123-6211|
6311|6111-6112-6113-6121-6122-6124-6211-6212-6223|
6312|6111-6112-6122-6124-6212|
6322|6111-6112-6122-6124-6212-6223-6312|
6323|6124|
6321|6111-6112-6122-6124-6212-6213-6222-6312|
6324|6111-6122-6213-6222|
6411|6111-6122-6124-6213-6222-6323|
6412|6111-6112-6122-6124-6212-6214-6223|
6413|6111-6113-6122-6221|
6414|6112-6124-6214-6224-6313|
6421|6111-6122-6213-6222-6324|
6422|6112-6113-6121-6211|
6423|6111-6112-6122-6124-6212-6214-6312-6323|
6424|6112-6113-6121-6123-6211-6314|
6511|6111-6122-6213-6222-6324-6421|
6512|6111-6112-6113-6122-6124-6212-6221-6223-6323|
6513|6111-6112-6222-6224-6212-6214-6223-6312-6323-6423|
6521|6111-6122-6124-6213-6222-6323-6411|
6522|6111-6122-6124-6213-6222-6323-6411|
